iter	Passed	Remaining
0	1	134
1	2	119
2	3	114
3	4	106
4	5	104
5	6	100
6	7	96
7	8	93
8	9	91
9	9	89
10	10	88
11	11	86
12	12	85
13	13	83
14	14	82
15	15	81
16	16	80
17	17	79
18	18	78
19	19	77
20	20	76
21	21	75
22	22	73
23	22	72
24	23	71
25	24	70
26	25	69
27	26	68
28	27	67
29	28	66
30	29	64
31	30	64
32	31	63
33	32	62
34	32	61
35	33	60
36	34	59
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	56	35
61	56	34
62	57	33
63	58	33
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	22
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	75	15
83	76	14
84	77	13
85	78	12
86	79	11
87	80	10
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	85	5
94	86	4
95	87	3
96	88	2
97	89	1
98	90	0
99	91	0
